Unnamed: 0,Act. Pop.,Constant,J,Length,Us,V,V2,V3,atom,energy,error,esterm,functional,spin,t,Method,Excitation
205,9.8264681326,1.0,0.628380044634,1.5,1.60504639839,12.2377108137,13.7187297186,14.1171512109,H,-4.987103626,0.002246328521,9.8264681326,pbe,Spin: 0,7.76795515895,uks,doubles
206,9.808359276,1.0,0.623159725826,1.5,1.47453732803,12.3856487495,13.7508470645,13.9838904446,H,-4.990599051,0.006454985722,9.808359276,pbe,Spin: 0,7.60846850493,uks,doubles
207,9.8589229692,1.0,0.62929975935,1.5,1.45653659764,12.5939368924,13.76867452,14.0471296516,H,-4.912605296,0.005782647998,9.8589229692,pbe,Spin: 0,7.32077925397,uks,doubles
209,9.8800691588,1.0,0.51615197158,1.5,1.60352713278,12.8860505624,13.7277055894,13.9079115468,H,-4.994828017,0.001509830918,9.8800691588,pbe,Spin: 0,7.29479921388,uks,doubles
210,9.8528998029,1.0,0.536380181215,1.5,1.6809478934,12.4868812147,13.6318101557,13.8943884008,H,-4.989569017,0.002479221116,9.8528998029,pbe,Spin: 0,7.3258179132,uks,doubles
211,9.8402087551,1.0,0.466319970252,1.5,1.40608833293,12.6964236483,13.8434336843,13.5946886351,H,-4.916714419,0.006683149263,9.8402087551,pbe,Spin: 0,6.39520677932,uks,doubles
213,9.8853757151,1.0,0.448972282115,1.5,1.42220294121,13.0835964928,14.3326934235,12.9304917957,H,-4.805110256,0.01033619336,9.8853757151,pbe,Spin: 0,6.07343891549,uks,doubles
215,9.8762211014,1.0,0.563238072493,1.5,1.6441036624,12.2811037036,13.873684799,14.2296003633,H,-5.013233423,0.007046477335,9.8762211014,pbe,Spin: 0,7.68052100364,uks,doubles
216,9.8720103482,1.0,0.618133083031,1.5,1.87095326186,12.2076303979,13.7725087362,14.3361145817,H,-4.963066633,0.009510388828,9.8720103482,pbe,Spin: 0,7.88528526291,uks,doubles
217,9.8128923269,1.0,0.415425380607,1.5,1.61192669632,12.3895159975,13.804938674,14.0324294108,H,-4.880504862,0.004981754833,9.8128923269,pbe,Spin: 0,6.78536955963,uks,doubles
218,9.8660259891,1.0,0.634197880469,1.5,1.42642725484,13.1316881067,13.8125571795,13.9623281664,H,-4.937056262,0.008475268966,9.8660259891,pbe,Spin: 0,6.75430390234,uks,doubles
219,9.8775504103,1.0,0.504857878017,1.5,1.46424186974,13.0960253421,14.0435190823,13.7936784198,H,-4.818230844,0.008642152534,9.8775504103,pbe,Spin: 0,6.42661483161,uks,doubles
221,9.8610235689,1.0,0.526364645432,1.5,1.6919376672,12.3465688446,13.7601546461,14.2261150503,H,-5.013337648,0.001792004317,9.8610235689,pbe,Spin: 0,7.72292673542,uks,doubles
222,9.8352276139,1.0,0.548579900553,1.5,1.85468839571,12.0629357112,13.7638311948,14.1317981339,H,-4.981570579,0.0042497241,9.8352276139,pbe,Spin: 0,7.69501988531,uks,doubles
223,9.8414161803,1.0,0.38472350667,1.5,1.72889616678,12.9639289911,13.4766345854,13.8393212042,H,-4.841959073,0.008386532084,9.8414161803,pbe,Spin: 0,6.91506700811,uks,doubles
224,9.839269499,1.0,0.54521063974,1.5,1.56084832698,12.4692846158,14.0825269417,13.9912597701,H,-4.885245168,0.008961846351,9.839269499,pbe,Spin: 0,6.73998426559,uks,doubles
225,9.864780884,1.0,0.495583464466,1.5,1.48482994536,13.143570743,14.102730044,13.6980193467,H,-4.808062928,0.009823726408,9.864780884,pbe,Spin: 0,6.42643183284,uks,doubles
227,9.847868657,1.0,0.655685050081,1.5,1.7978207729,11.8960385775,14.1300986623,13.9581344831,H,-5.058362983,0.003245361119,9.847868657,pbe,Spin: 0,8.69418432211,uks,doubles
228,9.8522111098,1.0,0.688797860692,1.5,1.93054798921,11.6198709926,13.9298876815,14.388550707,H,-5.037573269,0.00346266936,9.8522111098,pbe,Spin: 0,8.66560481813,uks,doubles
230,9.8095496873,1.0,0.631225024697,1.5,1.62411345797,12.1117634164,13.5965653562,14.1610345596,H,-4.961302826,0.006540815632,9.8095496873,pbe,Spin: 0,7.77789526464,uks,doubles
231,9.8568886812,1.0,0.590706231372,1.5,1.54111271787,12.4931391088,13.6743664789,14.11772917,H,-4.884841111,0.007431530813,9.8568886812,pbe,Spin: 0,7.34306766985,uks,doubles
233,9.8541742922,1.0,0.748501327003,1.5,1.6916019772,11.8939362595,13.9868538365,14.3830991687,H,-5.081627214,0.005221593714,9.8541742922,pbe,Spin: 0,8.56029003069,uks,doubles
